cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 generic.py:2674(__setattr__)
        1    0.000    0.000    0.000    0.000 dsa.py:74(DSAPublicKey)
        1    0.000    0.000    0.000    0.000 spawnbase.py:12(_NullCoder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:799(load_module)
        1    0.000    0.000    0.000    0.000 char.py:9(PrintableString)
        1    0.000    0.000    0.000    0.000 formatters.py:205(FormatterABC)
        1    0.000    0.000    0.000    0.000 base.py:160(PandasDelegate)
        1    0.000    0.000    0.000    0.000 controls.py:419(BufferControl)
        1    0.000    0.000    0.000    0.000 tagmap.py:3(TagMap)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1127(dirichlet_gen)
        3    0.000    0.000    0.000    0.000 core.py:821(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:813(getint)
        1    0.000    0.000    0.000    0.000 loader.py:49(ArgumentParser)
        1    0.000    0.000    0.000    0.000 pretty.py:143(_PrettyPrinterBase)
        1    0.000    0.000    0.000    0.000 plotting.py:237(__init__)
        1    0.000    0.000    0.000    0.000 storage_uri.py:802(FileStorageUri)
        2    0.000    0.000    0.000    0.000 numeric.py:1871(set_string_function)
        1    0.000    0.000    0.000    0.000 json.py:223(Parser)
        2    0.000    0.000    0.002    0.001 __init__.py:1701(zipinfo)
        1    0.000    0.000    0.000    0.000 stata.py:1802(StataWriter)
        1    0.000    0.000    0.000    0.000 numerictypes.py:774(__getitem__)
        1    0.000    0.000    0.000    0.000 nonreduce.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plotly.py:1237(_api_v2)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:196(geom_gen)
        1    0.000    0.000    0.000    0.000 ssl.py:325(_ASN1Object)
        1    0.000    0.000    0.000    0.000 ticker.py:1495(LogLocator)
        1    0.000    0.000    0.000    0.000 __init__.py:24(UnknownBackend)
        1    0.000    0.000    0.000    0.000 deletemarker.py:22(<module>)
        1    0.000    0.000    0.000    0.000 ultratb.py:580(ListTB)
        2    0.000    0.000    0.000    0.000 parsers.py:412(_make_parser_function)
        1    0.000    0.000    0.000    0.000 extensions.py:306(AccessDescription)
        4    0.000    0.000    0.000    0.000 six.py:229(_MovedItems)
        1    0.000    0.000    0.000    0.000 __init__.py:2746(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 char.py:60(UTF8String)
        1    0.000    0.000    0.000    0.000 cli.py:62(InFocusStack)
        1    0.000    0.000    0.000    0.000 completer.py:59(_strip_single_trailing_space)
        4    0.000    0.000    0.000    0.000 six.py:124(_LazyModule)
        1    0.000    0.000    0.000    0.000 base.py:34(__or__)
        1    0.000    0.000    0.000    0.000 logger.py:28(Logger)
        1    0.000    0.000    0.000    0.000 internals.py:1622(BoolBlock)
        1    0.000    0.000    0.000    0.000 offsets.py:1136(MonthBegin)
        4    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
        1    0.000    0.000    0.000    0.000 plotting.py:246(__setitem__)
        1    0.000    0.000    0.000    0.000 subprocess.py:374(CalledProcessError)
        1    0.000    0.000    0.000    0.000 mathtext.py:545(TruetypeFonts)
        1    0.000    0.000    0.000    0.000 pathlib.py:127(<setcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:860(Normalize)
        1    0.000    0.000    0.000    0.000 extensions.py:642(UserNotice)
        1    0.000    0.000    0.000    0.000 patches.py:1412(Circle)
        1    0.000    0.000    0.000    0.000 prefilter.py:591(AutoHandler)
        1    0.000    0.000    0.000    0.000 socketserver.py:378(TCPServer)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2250(__init__)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 os.py:1046(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2504(BoundArguments)
        1    0.000    0.000    0.000    0.000 interfaces.py:257(X509Backend)
        1    0.000    0.000    0.000    0.000 info.py:184(<module>)
        1    0.000    0.000    0.000    0.000 socketserver.py:153(BaseServer)
        1    0.000    0.000    0.000    0.000 offsets.py:1550(LastWeekOfMonth)
        2    0.000    0.000    0.000    0.000 pyopenssl.py:359(options)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 context.py:39(cpu_count)
        1    0.000    0.000    0.000    0.000 threading.py:201(Condition)
        1    0.000    0.000    0.000    0.000 general_name.py:50(RFC822Name)
        1    0.000    0.000    0.000    0.000 crypto.py:1717(Revoked)
        1    0.000    0.000    0.000    0.000 buffer.py:42(AcceptAction)
        1    0.000    0.000    0.000    0.000 algorithms.py:37(Camellia)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4241(postParse)
        8    0.000    0.000    0.000    0.000 frequencies.py:1297(<genexpr>)
        1    0.000    0.000    0.000    0.000 expr.py:688(Expr)
        1    0.000    0.000    0.000    0.000 x509.py:159(_RevokedCertificate)
        1    0.000    0.000    0.000    0.000 traitlets.py:1241(observe)
        1    0.000    0.000    0.000    0.000 platform.py:1282(python_implementation)
        2    0.000    0.000    0.000    0.000 buffer.py:52(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4121(__ilshift__)
        1    0.000    0.000    0.000    0.000 version.py:72(LegacyVersion)
        1    0.000    0.000    0.000    0.000 offsets.py:1097(MonthOffset)
        1    0.000    0.000    0.000    0.000 decoder.py:112(BitStringDecoder)
        1    0.000    0.000    0.000    0.000 dsa.py:215(DSAPrivateNumbers)
        1    0.000    0.000    0.000    0.000 input.py:26(Input)
        1    0.000    0.000    0.000    0.000 format.py:2536(EngFormatter)
        4    0.000    0.000    0.000    0.000 binding.py:66(ffi_callback)
        2    0.000    0.000    0.000    0.000 _util.py:56(openssl_assert)
        1    0.000    0.000    0.000    0.000 ssl.py:353(SSLContext)
        1    0.000    0.000    0.000    0.000 capture.py:23(RichOutput)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3855(__str__)
        1    0.000    0.000    0.000    0.000 panel.py:1598(LongPanel)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 chardistribution.py:46(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 interfaces.py:310(DHBackend)
        1    0.000    0.000    0.000    0.000 exceptions.py:6(ExceptionPexpect)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3141(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:1630(QuarterOffset)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 bdb.py:478(Breakpoint)
        1    0.000    0.000    0.000    0.000 interface.py:451(_CustomLinearOperator)
        1    0.000    0.000    0.004    0.004 __init__.py:259(__getattr__)
        1    0.000    0.000    0.000    0.000 graph_objs.py:38(PlotlyBase)
        1    0.000    0.000    0.000    0.000 constraint.py:88(_setValues)
        1    0.000    0.000    0.000    0.000 offsets.py:2042(FY5253)
        1    0.000    0.000    0.000    0.000 text.py:93(SList)
        1    0.000    0.000    0.000    0.000 useful.py:4(ObjectDescriptor)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1497(MouseEvent)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 rsa.py:334(RSAPublicNumbers)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2926(CharsNotIn)
        1    0.000    0.000    0.000    0.000 pytables.py:3771(AppendableTable)
        1    0.000    0.000    0.000    0.000 core.py:2311(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 categorical.py:1836(CategoricalAccessor)
        2    0.000    0.000    0.000    0.000 rcsetup.py:552(validate_bbox)
       15    0.000    0.000    0.000    0.000 argparse.py:587(<listcomp>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:578(ValidateInterval)
        1    0.000    0.000    0.000    0.000 base.py:148(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:136(CacheDict)
        1    0.000    0.000    0.000    0.000 mathtext.py:3078(__init__)
        1    0.000    0.000    0.000    0.000 processors.py:376(ShowLeadingWhiteSpaceProcessor)
        1    0.000    0.000    0.000    0.000 __init__.py:111(lrange)
        1    0.000    0.000    0.000    0.000 general_name.py:211(IPAddress)
        1    0.000    0.000    0.000    0.000 crypto.py:285(_EllipticCurve)
        1    0.000    0.000    0.000    0.000 parser.py:481(parser)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:95(NpzFile)
        1    0.000    0.000    0.000    0.000 configparser.py:520(LegacyInterpolation)
        2    0.000    0.000    0.000    0.000 zipfile.py:1597(close)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.RAND_cleanup}
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:799(_get)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 threading.py:891(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 configparser.py:1213(SectionProxy)
        1    0.000    0.000    0.000    0.000 filter.py:10(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.sk_DIST_POINT_num}
        3    0.000    0.000    0.000    0.000 utils.py:410(validate_world_readable_and_sharing_settings)
        1    0.000    0.000    0.000    0.000 common.py:431(UTF8Recoder)
        1    0.000    0.000    0.000    0.000 parse.py:275(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 collections.py:769(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 parser.py:370(_ymd)
        2    0.000    0.000    0.000    0.000 timeout.py:216(read_timeout)
        1    0.000    0.000    0.000    0.000 constants.py:29(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:270(_ErrorHolder)
        1    0.000    0.000    0.000    0.000 patches.py:874(Polygon)
        1    0.000    0.000    0.000    0.000 configparser.py:169(__init__)
        4    0.000    0.000    0.000    0.000 common.py:8(<genexpr>)
        6    0.000    0.000    0.000    0.000 magic.py:138(validate_type)
        1    0.000    0.000    0.000    0.000 extensions.py:242(SubjectKeyIdentifier)
        1    0.000    0.000    0.000    0.000 containers.py:793(ScrollOffsets)
        1    0.000    0.000    0.000    0.000 backend_tools.py:361(ToolGrid)
       19    0.000    0.000    0.000    0.000 worksheet.py:46(convert_cell_args)
        1    0.000    0.000    0.000    0.000 groupby.py:3861(DataSplitter)
        2    0.000    0.000    0.000    0.000 subprocess.py:1004(_get_devnull)
        1    0.000    0.000    0.000    0.000 certs.py:19(where)
        3    0.000    0.000    0.000    0.000 core.py:765(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:203(multi_rv_frozen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3324(t_gen)
        1    0.000    0.000    0.000    0.000 font_manager.py:1006(FontManager)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.ENGINE_new}
        1    0.000    0.000    0.000    0.000 cmac.py:16(_CMACContext)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.ENGINE_by_id}
       10    0.000    0.000    0.000    0.000 case.py:1306(_deprecate)
        1    0.000    0.000    0.000    0.000 hierarchy.py:689(__init__)
        2    0.000    0.000    0.000    0.000 connectionpool.py:768(_prepare_conn)
        1    0.000    0.000    0.000    0.000 locale.py:627(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:273(<listcomp>)
        1    0.000    0.000    0.000    0.000 config.py:170(get_default_val)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.ERR_peek_error}
        3    0.000    0.000    0.000    0.000 sentinel.py:8(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:496(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:1574(ToolHandles)
       16    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 patches.py:983(Wedge)
        4    0.000    0.000    0.000    0.000 re.py:205(findall)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_set_connect_state}
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 ops.py:173(Op)
        1    0.000    0.000    0.000    0.000 offsets.py:1929(YearEnd)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2997(White)
        1    0.000    0.000    0.000    0.000 {method 'readinto' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:87(bernoulli_gen)
        1    0.000    0.000    0.000    0.000 format.py:1307(CSVFormatter)
        1    0.000    0.000    0.000    0.000 tag.py:58(TagSet)
        1    0.000    0.000    0.000    0.000 ultratb.py:1420(SyntaxTB)
        1    0.000    0.000    0.000    0.000 formatters.py:778(JSONFormatter)
        1    0.000    0.000    0.000    0.000 configparser.py:295(ParsingError)
        1    0.000    0.000    0.000    0.000 colors.py:1490(LightSource)
        1    0.000    0.000    0.000    0.000 dsa.py:138(DSAParameterNumbers)
        1    0.000    0.000    0.000    0.000 algorithms.py:22(AES)
        1    0.000    0.000    0.000    0.000 configparser.py:762(get)
        1    0.000    0.000    0.000    0.000 structures.py:89(LookupDict)
        1    0.000    0.000    0.000    0.000 tagmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashes.py:39(HashContext)
        1    0.000    0.000    0.000    0.000 csr.py:21(csr_matrix)
        1    0.000    0.000    0.000    0.000 matfuncs.py:180(MatrixPowerOperator)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 mathtext.py:1730(GlueSpec)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:19(binom_gen)
        1    0.000    0.000    0.000    0.000 _multivariate.py:169(multi_rv_generic)
        1    0.000    0.000    0.000    0.000 core.py:6098(MaskedConstant)
        1    0.000    0.000    0.000    0.000 __config__.py:7(get_info)
        1    0.000    0.000    0.000    0.000 arpack.py:960(IterOpInv)
        1    0.000    0.000    0.000    0.000 utils.py:539(ShellCommand)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:340(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pydoc.py:1014(__init__)
        1    0.000    0.000    0.000    0.000 request.py:374(OpenerDirector)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1587(genpareto_gen)
        1    0.000    0.000    0.000    0.000 extras.py:214(_fromnxfunction)
        1    0.000    0.000    0.000    0.000 bunch.py:9(Bunch)
        1    0.000    0.000    0.000    0.000 _policybase.py:267(Compat32)
        1    0.000    0.000    0.000    0.000 nonlin.py:1229(LinearMixing)
        1    0.000    0.000    0.000    0.000 resample.py:915(TimeGrouper)
        1    0.000    0.000    0.000    0.000 char.py:26(IA5String)
        1    0.000    0.000    0.000    0.000 mathtext.py:1811(Kern)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:617(burr_gen)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:369(LbfgsInvHessProduct)
        5    0.000    0.000    0.000    0.000 six.py:177(_get_module)
        1    0.000    0.000    0.000    0.000 plistlib.py:204(Data)
        1    0.000    0.000    0.000    0.000 string.py:77(Template)
        1    0.000    0.000    0.000    0.000 converter.py:906(TimeSeries_DateFormatter)
        1    0.000    0.000    0.000    0.000 units.py:75(ConversionInterface)
        1    0.000    0.000    0.000    0.000 cbook.py:2342(_NestedClassGetter)
        1    0.000    0.000    0.000    0.000 pytables.py:1281(TableIterator)
        1    0.000    0.000    0.000    0.000 pydoc.py:415(HTMLRepr)
        1    0.000    0.000    0.000    0.000 alias.py:121(Alias)
        2    0.000    0.000    0.000    0.000 pathlib.py:48(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:120(TextTestRunner)
        2    0.000    0.000    0.000    0.000 panel.py:25(__init__)
        1    0.000    0.000    0.000    0.000 bunch.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 cbook.py:672(__init__)
        1    0.000    0.000    0.000    0.000 string.py:174(Formatter)
        1    0.000    0.000    0.005    0.005 mathtext.py:2595(<lambda>)
        1    0.000    0.000    0.000    0.000 necompiler.py:77(ASTNode)
        1    0.000    0.000    0.000    0.000 modes.py:39(ModeWithNonce)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4531(halfgennorm_gen)
        4    0.000    0.000    0.000    0.000 six.py:320(Module_six_moves_urllib_parse)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1390(foldnorm_gen)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3126(__init__)
        1    0.000    0.000    0.000    0.000 sputils.py:227(IndexMixin)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2525(invgauss_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2814(levy_stable_gen)
        1    0.000    0.000    0.000    0.000 interfaces.py:12(CipherBackend)
        1    0.000    0.000    0.000    0.000 decoder.py:253(JSONDecoder)
        1    0.000    0.000    0.000    0.000 exception.py:199(StorageCreateError)
        1    0.000    0.000    0.000    0.000 base.py:16(Filter)
        2    0.000    0.000    0.000    0.000 lexer.py:339(using)
        1    0.000    0.000    0.000    0.000 plistlib.py:416(_DumbXMLWriter)
        1    0.000    0.000    0.000    0.000 relationships.py:17(Relationships)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:809(chi2_gen)
        1    0.000    0.000    0.000    0.000 nonlin.py:549(InverseJacobian)
        1    0.000    0.000    0.000    0.000 interfaces.py:33(HashBackend)
        2    0.000    0.000    0.000    0.000 pyparsing.py:160(<genexpr>)
        1    0.000    0.000    0.000    0.000 selectors.py:394(EpollSelector)
        1    0.000    0.000    0.000    0.000 _ode.py:1051(dop853)
        1    0.000    0.000    0.000    0.000 parser.py:1169(_result)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3147(mielke_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3585(pearson3_gen)
        1    0.000    0.000    0.000    0.000 escprober.py:36(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 buffer_mapping.py:17(BufferMapping)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 pytables.py:2706(SparsePanelFixed)
        2    0.000    0.000    0.000    0.000 sentinel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:109(_ModuleWithDeprecations)
        1    0.000    0.000    0.000    0.000 core.py:6269(__init__)
        1    0.000    0.000    0.000    0.000 skipdoctest.py:40(skip_doctest_py2)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1358(dirichlet_frozen)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:357(BackgroundJobBase)
        1    0.000    0.000    0.000    0.000 display.py:641(Image)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2355(halfnorm_gen)
        1    0.000    0.000    0.000    0.000 zipfile.py:674(_Tellable)
        1    0.000    0.000    0.000    0.000 decoder.py:164(OctetStringDecoder)
        1    0.000    0.000    0.000    0.000 widgets.py:1365(SpanSelector)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4192(truncnorm_gen)
        1    0.000    0.000    0.000    0.000 loader.py:158(Config)
        1    0.000    0.000    0.000    0.000 ultratb.py:1362(AutoFormattedTB)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:2069(safe_sys_path_index)
        1    0.000    0.000    0.000    0.000 backend_tools.py:328(ToolEnableAllNavigation)
        1    0.000    0.000    0.005    0.005 __init__.py:967(rc_params)
        1    0.000    0.000    0.000    0.000 csv.py:164(Sniffer)
        1    0.000    0.000    0.000    0.000 base.py:22(StringMixin)
        1    0.000    0.000    0.000    0.000 _collections.py:27(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 input.py:59(StdinInput)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4138(truncexpon_gen)
        1    0.000    0.000    0.000    0.000 mathtext.py:156(MathtextBackendAgg)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2496(CloseMatch)
        1    0.000    0.000    0.000    0.000 base.py:20(CipherAlgorithm)
        2    0.000    0.000    0.000    0.000 python.py:216(innerstring_rules)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
        1    0.000    0.000    0.000    0.000 processors.py:43(Processor)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1392(LocationEvent)
        1    0.000    0.000    0.000    0.000 traitlets.py:1860(Int)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1706(genextreme_gen)
        1    0.000    0.000    0.000    0.000 common.py:9(Checkers)
        1    0.000    0.000    0.000    0.000 kdtree.py:77(Rectangle)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        4    0.000    0.000    0.000    0.000 pyopenssl.py:98(<genexpr>)
        1    0.000    0.000    0.000    0.000 nonlin.py:1327(KrylovJacobian)
        1    0.000    0.000    0.000    0.000 traitlets.py:2612(UseEnum)
        1    0.000    0.000    0.000    0.000 modes.py:64(CBC)
        1    0.000    0.000    0.000    0.000 crypto.py:1898(CRL)
        1    0.000    0.000    0.000    0.000 connection.py:205(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 request.py:1165(AbstractHTTPHandler)
        1    0.000    0.000    0.000    0.000 dimension.py:14(LayoutDimension)
        1    0.000    0.000    0.000    0.000 tzinfo.py:149(DstTzInfo)
        1    0.000    0.000    0.000    0.000 hmac.py:15(_HMACContext)
        1    0.000    0.000    0.000    0.000 timeit.py:84(Timer)
        2    0.000    0.000    0.000    0.000 traitlets.py:909(__get__)
        1    0.000    0.000    0.000    0.000 oid.py:169(CertificatePoliciesOID)
        1    0.000    0.000    0.000    0.000 __init__.py:1632(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 decoder.py:7(BooleanDecoder)
        1    0.000    0.000    0.000    0.000 lexers.py:90(RegexSync)
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 lexer.py:209(DelegatingLexer)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3137(StringEnd)
        1    0.000    0.000    0.000    0.000 utils.py:1615(WarningManager)
        1    0.000    0.000    0.000    0.000 traitlets.py:1621(Instance)
        1    0.000    0.000    0.000    0.000 resample.py:619(DatetimeIndexResampler)
        1    0.000    0.000    0.000    0.000 text.py:577(DollarFormatter)
        1    0.000    0.000    0.000    0.000 pathlib.py:574(_PathParents)
        1    0.000    0.000    0.000    0.000 cache.py:12(SimpleCache)
        1    0.000    0.000    0.000    0.000 plotting.py:1623(HexBinPlot)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2315(Token)
        1    0.000    0.000    0.000    0.000 controls.py:97(UIContent)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:996(expon_gen)
        1    0.000    0.000    0.000    0.000 decoder.py:256(RealDecoder)
        1    0.000    0.000    0.000    0.000 vt100_input.py:212(InputStream)
        1    0.000    0.000    0.000    0.000 csv.py:129(DictWriter)
        1    0.000    0.000    0.000    0.000 generic.py:5148(_add_series_only_operations)
        1    0.000    0.000    0.000    0.000 general_name.py:246(OtherName)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
       24    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        2    0.000    0.000    0.000    0.000 models.py:179(<genexpr>)
        1    0.000    0.000    0.000    0.000 xmlreader.py:91(IncrementalParser)
        1    0.000    0.000    0.000    0.000 loader.py:688(ArgParseConfigLoader)
        1    0.000    0.000    0.000    0.000 widgets.py:922(Cursor)
        1    0.000    0.000    0.000    0.000 modes.py:132(CTR)
        1    0.000    0.000    0.000    0.000 argparse.py:1046(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 plotting.py:1994(BarhPlot)
        1    0.000    0.000    0.000    0.000 patches.py:1794(_simpleprint_styles)
        1    0.000    0.000    0.000    0.000 reactive.py:48(_IntegerFromCallable)
        1    0.000    0.000    0.000    0.000 dsa.py:59(DSAPrivateKeyWithSerialization)
        1    0.000    0.000    0.000    0.000 mathtext.py:1909(Ship)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        2    0.000    0.000    0.000    0.000 constraint.py:166(__add__)
        1    0.000    0.000    0.000    0.000 namedval.py:6(NamedValues)
        1    0.000    0.000    0.000    0.000 machar.py:17(MachAr)
        1    0.000    0.000    0.000    0.000 backend_tools.py:381(ToolFullScreen)
        1    0.000    0.000    0.000    0.000 traceback.py:403(TracebackException)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2271(halfcauchy_gen)
        2    0.000    0.000    0.000    0.000 utils.py:183(is_windows)
        1    0.000    0.000    0.000    0.000 decoder.py:597(Decoder)
        3    0.000    0.000    0.000    0.000 rcsetup.py:449(validate_ps_distiller)
        1    0.000    0.000    0.000    0.000 tools.py:7005(_Dendrogram)
        1    0.000    0.000    0.000    0.000 dviread.py:493(Vf)
        1    0.000    0.000    0.000    0.000 decoder.py:540(UniversalStringDecoder)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1053(exponnorm_gen)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2142(IPv6Network)
        1    0.000    0.000    0.000    0.000 decorators.py:100(Substitution)
        1    0.000    0.000    0.000    0.000 utils.py:110(_ExplodedList)
        1    0.000    0.000    0.000    0.000 name.py:13(NameAttribute)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3055(GoToColumn)
        1    0.000    0.000    0.000    0.000 document.py:40(_ImmutableLineList)
        1    0.000    0.000    0.000    0.000 ops.py:156(Constant)
       15    0.000    0.000    0.000    0.000 decorators.py:51(undoc)
        1    0.000    0.000    0.000    0.000 configparser.py:1283(ConverterMapping)
        1    0.000    0.000    0.000    0.000 decoder.py:430(ChoiceDecoder)
        1    0.000    0.000    0.000    0.000 pathlib.py:259(_PosixFlavour)
        1    0.000    0.000    0.000    0.000 __init__.py:64(install)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:137(nbinom_gen)
        1    0.000    0.000    0.000    0.000 basic.py:21(MagicsDisplay)
        1    0.000    0.000    0.000    0.000 auth.py:45(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 pytables.py:2625(SeriesFixed)
        2    0.000    0.000    0.000    0.000 sre_parse.py:473(<listcomp>)
        2    0.000    0.000    0.000    0.000 binding.py:135(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:355(notify_all)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2323(Empty)
        1    0.000    0.000    0.000    0.000 ciphers.py:13(_CipherContext)
        1    0.000    0.000    0.000    0.000 enum.py:40(_EnumDict)
        1    0.000    0.000    0.000    0.000 request.py:881(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 char.py:21(VideotexString)
        1    0.000    0.000    0.000    0.000 os.py:1062(__getattr__)
        1    0.000    0.000    0.000    0.000 cpuinfo.py:83(CPUInfoBase)
        1    0.000    0.000    0.000    0.000 html.py:480(_LxmlFrameParser)
        1    0.000    0.000    0.000    0.000 header.py:179(Header)
        1    0.000    0.000    0.000    0.000 argparse.py:734(Action)
        1    0.000    0.000    0.000    0.000 excel.py:707(_Openpyxl1Writer)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:35(<module>)
        1    0.000    0.000    0.000    0.000 extensions.py:84(ExtensionType)
