cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2948    0.002    0.000    0.002    0.000 graph_reference.py:434(<listcomp>)
      160    0.002    0.000    0.003    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      917    0.002    0.000    0.009    0.000 copy.py:67(copy)
      370    0.002    0.000    0.046    0.000 __init__.py:2385(from_location)
      227    0.002    0.000    0.009    0.000 abc.py:132(__new__)
      193    0.002    0.000    0.200    0.001 {method 'read' of '_io.BufferedReader' objects}
      313    0.002    0.000    0.020    0.000 _util.py:222(getargspec_no_self)
      866    0.002    0.000    0.014    0.000 sre_compile.py:221(_compile_charset)
      959    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     4856    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:856(__exit__)
    25/11    0.002    0.000    1.579    0.144 pyopenssl.py:254(recv_into)
     6444    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     2259    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:406(cached)
      102    0.002    0.000    0.027    0.000 _distn_infrastructure.py:623(_construct_argparser)
     2174    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
     4856    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:852(__enter__)
     1078    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
       24    0.002    0.000    0.758    0.032 utils.py:64(save_json_dict)
     1545    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(__init__)
    683/2    0.002    0.000    3.612    1.806 {built-in method builtins.__import__}
  433/280    0.002    0.000    0.032    0.000 pyparsing.py:3489(parseImpl)
     3760    0.002    0.000    0.004    0.000 numeric.py:484(asanyarray)
     2975    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      224    0.002    0.000    0.002    0.000 utils.py:73(__call__)
      124    0.002    0.000    0.008    0.000 decorator.py:94(__init__)
      264    0.002    0.000    0.006    0.000 sre_compile.py:412(_compile_info)
    14451    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     5963    0.002    0.000    0.002    0.000 sre_parse.py:242(match)
      124    0.002    0.000    0.010    0.000 decorator.py:168(make)
      264    0.002    0.000    0.099    0.000 sre_compile.py:531(compile)
    14283    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
       18    0.002    0.000    0.004    0.000 enum.py:88(__new__)
     3574    0.002    0.000    0.002    0.000 inspect.py:2709(<genexpr>)
      644    0.002    0.000    0.019    0.000 __init__.py:1381(safe_version)
     3423    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     3756    0.001    0.000    0.007    0.000 {method 'any' of 'numpy.ndarray' objects}
      573    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
     1077    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      391    0.001    0.000    0.002    0.000 pyparsing.py:645(<listcomp>)
        6    0.001    0.000    0.004    0.001 six.py:1(<module>)
      638    0.001    0.000    0.003    0.000 version.py:236(__str__)
     1350    0.001    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
      370    0.001    0.000    0.003    0.000 __init__.py:763(add)
    44/30    0.001    0.000    0.402    0.013 {method 'join' of 'bytes' objects}
     2276    0.001    0.000    0.002    0.000 pyparsing.py:1328(preParse)
     2241    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
     7239    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1368    0.001    0.000    0.002    0.000 pyparsing.py:388(__getitem__)
       48    0.001    0.000    0.002    0.000 graph_reference.py:194(get_valid_attributes)
   1623/2    0.001    0.000    3.612    1.806 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      102    0.001    0.000    0.052    0.001 _distn_infrastructure.py:703(_construct_doc)
      129    0.001    0.000    0.063    0.000 requirements.py:88(__init__)
     2848    0.001    0.000    0.001    0.000 sre_parse.py:276(tell)
     1078    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
  266/264    0.001    0.000    0.061    0.000 sre_parse.py:819(parse)
     1432    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:170(__exit__)
     2177    0.001    0.000    0.001    0.000 sre_parse.py:105(__init__)
     2156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      129    0.001    0.000    0.065    0.001 __init__.py:2840(__init__)
      174    0.001    0.000    0.003    0.000 __init__.py:1576(_get)
        5    0.001    0.000    0.008    0.002 artist.py:1103(_get_setters_and_targets)
     3329    0.001    0.000    0.002    0.000 sre_parse.py:165(append)
     1390    0.001    0.000    0.002    0.000 __init__.py:2571(__getattr__)
      151    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
        1    0.001    0.001    0.001    0.001 {built-in method _pickle.load}
1081/1078    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
